trend,macd,rsi,bollinger,ltt,ltp
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,up,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,UP,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,up,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,DOWN,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
Sideways,DOWN,NEUTRAL,neutral,,
